noise_config,Hits@1,MRR,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Accuracy,Golden Accuracy
clean,0.4174562159058283,0.538630407064001,0.9950085272786784,0.5008613264427217,0.49921143420239056,0.9900172265288545,0.9900172265288545,0.9900172265288545,0.9900172265288545,0.0017226528854435831
white_snr+30,0.014068331897789263,0.05596243096621148,0.49499997128895373,0.49999709991096725,0.4974859871738456,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.0
white_snr+20,0.014068331897789263,0.05580008372467283,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+10,0.009474590869939707,0.051639249268831185,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+5,0.011771461383864484,0.054895874459969844,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+0,0.005742176284811944,0.05000027553202241,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-5,0.011484352569623888,0.05143814965041216,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-10,0.010623026126902095,0.051025532183359805,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+30,0.012058570198105082,0.05345145107251917,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+20,0.012632787826586276,0.05413301966238193,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
ambient_snr+10,0.01119724375538329,0.052338870560034126,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+5,0.007751937984496124,0.05200568547477202,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+0,0.009474590869939707,0.05212458649692111,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-5,0.008613264427217916,0.050912992106423145,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-10,0.009761699684180305,0.05193105871256743,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+10,0.010623026126902095,0.05453744719697908,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr+5,0.009474590869939707,0.05357227263178442,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr+0,0.010048808498420901,0.05392512908010108,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr-5,0.010623026126902095,0.05483681673816471,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr-10,0.012345679012345678,0.0555977983673041,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr-15,0.012058570198105082,0.05530800371557097,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-20,0.012919896640826873,0.055371987819546,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
