noise_config,Hits@1,MRR,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Accuracy,Golden Accuracy
clean,0.17197817973011773,0.2854033144693649,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+30,0.008900373241458513,0.05272204271846341,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+20,0.010910134941142693,0.05374176884830596,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+10,0.010623026126902095,0.053463946936650186,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+5,0.01119724375538329,0.05344380883700804,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+0,0.00918748205569911,0.05094724515010934,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-5,0.008613264427217916,0.050082812092299554,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-10,0.007751937984496124,0.04909339689063711,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+30,0.008900373241458513,0.05250144169923708,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+20,0.010910134941142693,0.05345904253835654,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+10,0.008326155612977318,0.05017036560367692,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+5,0.008039046798736722,0.04997100227228175,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+0,0.010048808498420901,0.05413283447821597,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-5,0.007751937984496124,0.050320557696437375,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-10,0.008900373241458513,0.050940018245094754,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+10,0.012919896640826873,0.05615087756999006,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+5,0.012632787826586276,0.05549965326167374,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+0,0.011484352569623888,0.05503590979456849,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-5,0.009761699684180305,0.053996837809600615,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-10,0.010623026126902095,0.05403305673515815,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-15,0.0103359173126615,0.05448629626321146,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-20,0.0103359173126615,0.054691199484876114,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
