noise_config,Hits@1,MRR,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Accuracy,Golden Accuracy
clean,0.1826012058570198,0.3174584556864391,0.9950014211927108,0.5001435544071203,0.4977751813473051,0.9900028710881424,0.9900028710881424,0.9900028710881424,0.9900028710881424,0.0002871088142405972
white_snr+30,0.011771461383864484,0.05324623786281082,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+20,0.010623026126902095,0.05273564312887785,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+10,0.011484352569623888,0.0529670908840903,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+5,0.008039046798736722,0.049842823807299964,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+0,0.00918748205569911,0.05040392093219467,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-5,0.008326155612977318,0.04942592950200191,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-10,0.010048808498420901,0.050347594858769995,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+30,0.009474590869939707,0.05252395911803862,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+20,0.010623026126902095,0.05295773136590988,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+10,0.010910134941142693,0.0535999557209247,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+5,0.01119724375538329,0.05375931015642051,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+0,0.01119724375538329,0.05579796855037506,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-5,0.011484352569623888,0.05315608075527921,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-10,0.011771461383864484,0.054323499139772295,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+10,0.010048808498420901,0.05189758157043176,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+5,0.010910134941142693,0.052319755857469515,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+0,0.010910134941142693,0.05259592859838345,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-5,0.010910134941142693,0.05256193798532454,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-10,0.0103359173126615,0.052290831409169194,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-15,0.010910134941142693,0.05288294070099605,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-20,0.010910134941142693,0.05291599403928852,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
