noise_config,Hits@1,MRR,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Accuracy,Golden Accuracy
clean,0.41975308641975306,0.5394806503155638,0.9950056848198084,0.5005742176284812,0.4986374260845013,0.9900114843525696,0.9900114843525696,0.9900114843525696,0.9900114843525696,0.0011484352569623888
white_snr+30,0.013494114269308067,0.056072030662479524,0.49499997128895373,0.49999709991096725,0.4974859871738456,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.0
white_snr+20,0.013494114269308067,0.05696059849133259,0.49499997128895373,0.49999709991096725,0.4974859871738456,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.0
white_snr+10,0.011771461383864484,0.05542622406859454,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
white_snr+5,0.01119724375538329,0.05549960582996701,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+0,0.011484352569623888,0.05402284822203045,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-5,0.010623026126902095,0.05290372428914789,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-10,0.011771461383864484,0.05488946972892977,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+30,0.015216767154751652,0.05856441780061596,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
ambient_snr+20,0.011771461383864484,0.05561019150746919,0.49499997128895373,0.49999709991096725,0.4974859871738456,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.0
ambient_snr+10,0.010048808498420901,0.0554002982234217,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+5,0.012345679012345678,0.055997023630155,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
ambient_snr+0,0.012345679012345678,0.054104744461340164,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-5,0.010623026126902095,0.05228271666444926,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-10,0.011771461383864484,0.053142615861890674,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+10,0.015790984783232844,0.05859136377141241,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr+5,0.015216767154751652,0.05813093583801711,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr+0,0.01435544071202986,0.05758087357012266,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr-5,0.015216767154751652,0.05792084868415003,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr-10,0.014929658340511054,0.05798564833017159,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr-15,0.014068331897789263,0.05728804885256012,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr-20,0.01435544071202986,0.05776675055144773,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
